Track ID,Type,x [m],y [m],Speed [km/h],Tan. Acc. [ms-2],Lat. Acc. [ms-2],Time [s],Angle [rad]
1,Car,411374.81,5655227.47,57.8746,-2.208,-0.3367,0.066733,0.8582
1,Car,411375.17,5655227.89,57.6237,-1.9688,-0.3644,0.1001,0.8584
1,Car,411375.53,5655228.31,57.403,-1.7065,-0.4042,0.133467,0.8586
1,Car,411375.89,5655228.73,57.2113,-1.4853,-0.4354,0.166833,0.8589
1,Car,411376.25,5655229.14,57.0482,-1.2287,-0.4692,0.2002,0.8592
1,Car,411376.6,5655229.55,56.912,-1.0393,-0.5278,0.233567,0.8598
1,Car,411376.95,5655229.96,56.8025,-0.7846,-0.5231,0.266933,0.8604
1,Car,411377.3,5655230.36,56.7237,-0.5277,-0.5718,0.3003,0.861
1,Car,411377.65,5655230.77,56.6704,-0.3591,-0.6191,0.333667,0.8617
1,Car,411378.0,5655231.17,56.6444,-0.0748,-0.6088,0.367033,0.8626
1,Car,411378.34,5655231.57,56.645,0.0852,-0.6531,0.4004,0.8633
1,Car,411378.68,5655231.97,56.6664,0.2717,-0.6995,0.433767,0.8643
1,Car,411379.02,5655232.38,56.7041,0.3562,-0.7188,0.467133,0.8654
1,Car,411379.36,5655232.77,57.6317,-0.988,-0.5055,0.5005,0.8664
1,Car,411379.7,5655233.17,57.5139,-0.973,-0.5337,0.533867,0.8675
1,Car,411380.04,5655233.57,57.4045,-0.8483,-0.5733,0.567233,0.8687
1,Car,411380.38,5655233.97,57.3107,-0.7149,-0.5848,0.6006,0.87
1,Car,411380.72,5655234.37,57.2328,-0.5822,-0.6376,0.633967,0.8714
1,Car,411381.05,5655234.77,57.1703,-0.4583,-0.6433,0.667333,0.8728
1,Car,411381.39,5655235.17,57.1212,-0.359,-0.6713,0.7007,0.8743
1,Car,411381.72,5655235.57,57.0827,-0.2823,-0.7042,0.734067,0.8758
1,Car,411382.06,5655235.98,57.0547,-0.1835,-0.7168,0.767433,0.8775
1,Car,411382.39,5655236.38,57.0382,-0.0912,-0.7464,0.8008,0.8791
1,Car,411382.73,5655236.79,57.0309,-0.0308,-0.7789,0.834167,0.8808
1,Car,411383.06,5655237.19,57.0307,0.0282,-0.763,0.867533,0.8826
1,Car,411383.4,5655237.6,57.0372,0.0804,-0.8121,0.9009,0.8843
1,Car,411383.74,5655238.01,57.0495,0.1238,-0.8307,0.934267,0.8862
1,Car,411384.07,5655238.43,57.0658,0.1483,-0.8423,0.967633,0.8881
1,Car,411384.41,5655238.84,57.0863,0.1927,-0.8423,1.001,0.89
1,Car,411384.74,5655239.25,57.1091,0.1872,-0.8836,1.034367,0.892
1,Car,411385.08,5655239.67,57.1334,0.217,-0.8913,1.067733,0.8939
1,Car,411385.41,5655240.08,57.1591,0.2104,-0.9086,1.1011,0.8959
1,Car,411385.74,5655240.5,57.1844,0.2109,-0.9163,1.134467,0.8979
1,Car,411386.07,5655240.92,57.2088,0.1962,-0.9391,1.167833,0.8999
1,Car,411386.41,5655241.33,57.2309,0.1719,-0.9428,1.2012,0.9019
1,Car,411386.74,5655241.75,57.2495,0.1369,-0.9557,1.234567,0.9039
1,Car,411387.06,5655242.17,57.2644,0.112,-0.9487,1.267933,0.906
